"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Baghdadite","Ca_3_Zr^4+^(Si_2_O_7_)O_2_","Ca_6_Zr_2_(Si_2_O_7_)_2_O_4_","Ca Zr Si O","IMA1982-075","","1005","Iraq","1982","Approved","Wöhlerite "," ","Hermezi H M, McKie D, Hall A J (1986) Baghdadite, a new calcium zirconium silicate mineral from Iraq, Mineralogical Magazine 50, 119-123","monoclinic","1000","Ca Zr^4+ Si O","Bgd"
"Brownleeite","MnSi","MnSi","Mn Si","IMA2008-011","","5670","IDP (interplanetary dust particle) over USA","2008","Approved","Brownleeite"," ","Nakamura-Messenger K, Keller L P, Clemett S J, Messenger S, Jones J H, Palma R L, Pepin R O, Klöck W, Zolensky M E, Tatsuoka H (2010) Brownleeite: A new manganese silicide mineral in an interplanetary dust particle, American Mineralogist 95, 221-228","cubic","","Mn Si","Bwn"
"Burnettite","CaV^3+^AlSiO_6_","CaVAlSiO_6_","Ca V Al Si O","IMA2013-054","","6217","Mexico (meteorite)","2013","Approved","Pyroxene"," ","Ma C, Beckett J R (2016) Burnettite, CaVAlSiO_6_, and paqueite, Ca_3_TiSi_2_(Al_2_Ti)O_14_, two new minerals from Allende: Clues to the evolution of a V-rich Ca-Al-rich inclusion. Lunar and Planetary Science 47, 1595-1595","monoclinic","4567.61","Ca V^3+ Al Si O","Bnet"
"Caswellsilverite","NaCr^3+^S^2-^_2_","NaCrS_2_","Na Cr S","IMA1981-012","","1350","USA","1981","Approved","Scacchite"," ","Okada A, Keil K (1982) Caswellsilverite, NaCrS<sub>2</sub>: a new mineral in the Norton County enstatite achondrite, American Mineralogist 67, 132-136","hexagonal","","Na Cr^3+ S^2-","Cws"
"Chromite","Fe^2+^Cr^3+^_2_O_4_","Fe^2+^Cr_2_O_4_","Fe Cr O","","R110059 R110060","1463","France","1845","Grandfathered|Approved","Spinel","spinel","The mineral, while previously known, was named in this publication:
Haidinger W (1845) Chromit, in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 550-550","cubic","4700","Fe^2+ Cr^3+ O","Chr"
"Clinoenstatite","MgSiO_3_","Mg_2_Si_2_O_6_","Mg Si O","","R070276","1498","Romania (meteorite)","1906","Approved","Pyroxene","pyroxene","Originally named klinoenstatit:
Wahl W (1906) Zur nomenklatur, in Die Enstatitaugite, (PhD dissertation), 151 pages, University of Helsinki (Finland) 137-141","monoclinic","4700","Mg Si O","Cen"
"Cohenite","Fe_3_C","CFe_3_","C Fe","","R100076","1532","Slovakia","1889","Grandfathered|Approved","Perovskite"," ","Weinschenk E (1889) Ueber einige bestandtheile de meteoreisens von Magura, Arva, Ungarn, Annalen des Kaiserlich-Königlichen Naturhistorischen Hofmuseums 4, 93-101","orthorhombic","4620","Fe C","Coh"
"Corundum","Al_2_O_3_","Al_2_O_3_","Al O","","R040096 R060020 RS899436 RS570316 RS796049 RS863332 R100131 R100142 R110096 R110097 R110098 R110099 R110110 R110111 R110116 R110117 R110119 RS812608","1562","India ?","0","Grandfathered|Approved","Corundum","hematite","Mineral name has been known since antiquity and predates any formal descriptive publication.","hexagonal","4700","Al O","Crn"
"Cristobalite","SiO_2_","SiO_2_","Si O","","R060648 R061064 R061107","1580","Mexico","1887","Grandfathered|Approved","Cristobalite"," ","vom Rath G (1887) Ueber cristobalit vom Cerro S. Cristóbal bei Pachuca (Mexico), Neues Jahrbuch für Mineralogie, Geologie und Palaontologie 1887, 198-199","tetragonal|orthorhombic","4620","Si O","Crs"
"Daubréelite","Fe^2+^Cr^3+^_2_S^2-^_4_","FeCr_2_S_4_","Fe Cr S","","","1635","Mexico","1876","Grandfathered|Approved","Spinel","linnaeite","Smith J L (1876) Aragonite on the surface of a meteoric iron, and a new mineral (Daubréelite) in the concretions of the interior of the same, The American Journal of Science and Arts 112, 107-110","cubic","4620","Fe^2+ Cr^3+ S^2-","Dbr"
"Davisite","CaSc^3+^AlSiO_6_","CaScAlSiO_6_","Ca Sc Al Si O","IMA2008-030","R130013","5688","Mexico (meteorite)","2008","Approved","Pyroxene"," ","Ma C, Rossman G R (2009) Davisite, CaScAlSiO<sub>6</sub>, a new pyroxene from the Allende meteorite, American Mineralogist 94, 845-848","monoclinic","4568.5","Ca Sc^3+ Al Si O","Dav"
"Dmisteinbergite","CaAl_2_Si_2_O_8_","Ca(Al_2_Si_2_O_8_)","Ca Al Si O","IMA1989-010","R130085 R130087","1688","Russia","1989","Approved","Dmisteinbergite","feldspar","Chesnokov B V, Lotova E V, Nigmatullina E N, Pavlutchenko V S, Bushmakin A F (1990) Dmisteinbergite, CaAl<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>, (hexagonal), a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 119(5), 43-46","hexagonal","4567.61","Ca Al Si O","Dsb"
"Enstatite","MgSiO_3_","Mg_2_Si_2_O_6_","Mg Si O","","R040093 R040094 R050644 R060630 R060744 R070097 R070418 R070550 R070641 R100093 R120168 R120174","1763","Czech Republic","1855","Approved","Pyroxene","pyroxene","Kenngott A (1855) Mineralogische notizen, betreffend die bekannten species: Karstenit, dolomit, millerit, turmalin, galaktit, wasser, plagionit, diopsid, zinkit, calcit und felsobanyt, sowie zwei neue: den enstatit im geschlechte der augit-spathe und den pseudophit im geschlechte der serpentin-steatite, Sitzungsberichte der Kaiserlichen Akademie der Wissenschaften 16, 152-179","orthorhombic","4700","Mg Si O","En"
"Eringaite","Ca_3_Sc^3+^_2_Si_3_O_12_","Ca_3_Sc_2_(SiO_4_)_3_","Ca Sc Si O","IMA2009-054","","5783","Russia","2009","Approved","Garnet"," ","Galuskina I O, Galuskin E V, Lazic B, Armbruster T, Dzierzanowski P, Prusik K, Wrzalik R (2010) Eringaite, Ca_3_Sc_2_(SiO_4_)_3_, a new mineral of the garnet group, Mineralogical Magazine 74, 365-373","cubic","4567.61","Ca Sc^3+ Si O","Erg"
"Forsterite","Mg_2_SiO_4_","Mg_2_(SiO_4_)","Mg Si O","","R040018 R040052 R040057 R050117 R060539 R060535 R060551 R100099 R100100 R100101 R100140","1972","Italy","1824","Grandfathered|Approved","Olivine","olivine","Levy M (1824) Observations on the preceding paper, with an account of a new mineral, The Annals of Philosophy 7, 59-62","orthorhombic|unknown","4700","Mg Si O","Fo"
"Gehlenite","Ca_2_Al(SiAl)O_7_","Ca_2_Al(SiAl)O_7_","Ca Al Si O","","R060841 R061091 R070478","2058","Italy","1815","Grandfathered|Approved","Melilite","melilite","Fuchs J N (1815) Ueber den gehlenit, ein neues mineral aus Tirol, Journal für Chemie und Physik 15, 377-386","tetragonal","4568.5","Ca Al Si O","Gh"
"Graphite","C","C","C","","R050503 R090047 R120025","2144","unknown","1789","Grandfathered|Approved"," "," ","Werner A G (1789) Mineralsystem des Herrn Inspektor Werners mit dessen Erlaubnis herausgegeben von E.U.G. Hoffmann, Bergmannisches Journal 1, 369-386","orthorhombic|hexagonal","4700","C","Gr"
"Grossite","CaAl_4_O_7_","CaAl_4_O_7_","Ca Al O","IMA1993-052","","2159","Algeria (meteorite) / Israel","1993","Approved"," "," ","Weber D, Bischoff A (1994) Grossite (CaAl_4_O_7_) - a rare phase in terrestrial rocks and meteorites, European Journal of Mineralogy 6, 591-594","monoclinic","4700","Ca Al O","Gss"
"Grossmanite","CaTi^3+^AlSiO_6_","Ca(Ti^3+^,Mg,Ti^4+^)AlSiO_6_","Ca Ti Mg Al Si O","IMA2008-042a","","5735","Mexico (meteorite)","2008","Approved","Pyroxene"," ","Ma C, Rossman G R (2009) Grossmanite, CaTi^3+^AlSiO_6_, a new pyroxene from the Allende meteorite, American Mineralogist 94, 1491-1494","monoclinic","4567.61","Ca Ti^3+ Al Si O","Gsm"
"Haxonite","(Fe,Ni)_23_C_6_","(Fe,Ni)_23_C_6_","Fe Ni C","IMA1971-001","R070034","2220","Mexico (meteorite) / USA (meteorite)","1971","Approved","Haxonite"," ","Mineral described, but not named:
Scott E R D (1971) New carbide, (Fe,Ni)_23_C_6_, found in iron meteorites, Nature 229, 61-62","cubic","4620","Fe Ni C","Hax"
"Hexamolybdenum","(Mo,Ru,Fe,Ir,Os)","(Mo,Ru,Fe,Ir,Os)","Mo Ru Fe Ir Os","IMA2007-029","","5630","Mexico (meteorite)","2007","Approved"," "," ","Ma C, Beckett J R, Rossman G R (2014) Allendeite (Sc_4_Zr_3_O_12_) and hexamolybdenum (Mo,Ru,Fe), two new minerals from an ultrarefractory inclusion from the Allende meteorite. American Mineralogist 99, 654-666","hexagonal","4700","Mo Ru Fe Ir Os","Hmo"
"Hibonite","CaAl_12_O_19_","CaAl_12_O_19_","Ca Al O","","R061069","2275","Madagascar","1956","Grandfathered|Approved","Plumboferrite","plumboferrite","Curien H, Guillemin C, Orcel J, Sternberg M (1956) La hibonite, nouvelle espèce minérale, Comptes Rendus Hebdomadaires des Séances de l’Académie des Sciences 242, 2845-2847

Chemical formula changed from (Ca,Ce)(Al,Ti,Mg)_12_O_19_:
Miyawaki R, Hatert F, Pasero M, Mills S J (2019) IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 50. New minerals and nomenclature modifications approved in 2019. Mineralogical Magazine 83, 615-620","hexagonal","4700","Ca Al O","Hbn"
"Ice","H_2_O","H_2_O","H O","","","2368","unknown","0","Grandfathered|Approved","Amorphous, Tridymite"," ","Mineral name has been known since antiquity and predates any formal descriptive publication.","","4000","H O","Ice"
"Ilmenite","Fe^2+^Ti^4+^O_3_","Fe^2+^Ti^4+^O_3_","Fe Ti O","","R060149 R130214","2378","Russia","1827","Grandfathered|Approved","Corundum","ilmenite","Kupffer A T (1827) Ilmenit, ein neues fossil (Sammt neuen spielarten des zirkon und gadolinit) aus Sibirien; beschrieben, Archiv für die Gesammte Naturlehre 10, 1-13","hexagonal","4567.61","Fe^2+ Ti^4+ O","Ilm"
"Iron","Fe","Fe","Fe","","R070255","2487","unknown","0","Grandfathered|Approved","Iron","iron","Mineral name has been known since antiquity and predates any formal descriptive publication.","cubic","4700","Fe","Fe"
"Kaitianite","Ti^3+^_2_Ti^4+^O_5_","Ti^3+^_2_Ti^4+^O_5_","Ti O","IMA2017-078a","","6740","Mexico (meteorite)","2018","Pending publication|Approved","Berdesinskiite"," ","Ma, C. (2017) Kaitianite, IMA 2017-078. CNMNC Newsletter No. 42, April 2018, page 450; Mineralogical Magazine, 82, 445–451","monoclinic","4567.61","Ti^3+ Ti^4+ O","Ktn"
"Kangite","(Sc^3+^,Ti^4+^,Al,Zr^4+^,Mg,Ca,[box])_2_O_3_","(Sc,Ti,Al,Zr,Mg,Ca,[box])_2_O_3_","Sc Ti Al Zr Mg Ca O","IMA2011-092","","6033","Mexico (meteorite)","2011","Approved","Bixbyite"," ","Ma C, Tschauner O, Beckett J R, Rossman G R, Liu W (2013) Kangite, (Sc,Ti,Al,Zr,Mg,Ca,[box])_2_O_3_, a new ultra-refractory scandia mineral from the Allende meteorite: Synchrotron micro-Laue diffraction and electron backscatter diffraction, American Mineralogist 98, 870-878","cubic","4567.61","Sc^3+ Ti^4+ Al Zr^4+ Mg Ca O","Kg"
"Keilite","Fe^2+^S^2-^","FeS","Fe S","IMA2001-053","R070104","2616","Canada (meteorite)","2001","Approved","Rocksalt","galena","Shimizu M, Yoshida H, Mandarino J A (2002) The new mineral species keilite, (Fe,Mg)S, the iron-dominant analogue of niningerite, The Canadian Mineralogist 40, 1687-1692","cubic","","Fe^2+ S^2-","Ke"
"Khamrabaevite","Ti^4+^C^4-^","TiC","Ti C","IMA1983-059","","2637","Uzbekistan","1983","Approved","Rocksalt","tantalcarbide","Novgorodova M I, Yusupov R G, Dmitrieva M T, Tsepin A I, Sivtsov A V, Gorshkov A I (1984) Khamrabaevite, (Ti,V,Fe)C, a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 113, 697-703","cubic","4567.61","Ti^4+ C^4-","Krb"
"Krotite","CaAl_2_O_4_","CaAl_2_O_4_","Ca Al O","IMA2010-038","","5868","Morocco (meteorite)","2010","Approved","Beryllonite"," ","Ma C, Kampf A R, Connolly H C, Beckett J R, Rossman G R, Sweeney Smith S A, Schrader D L (2011) Krotite, CaAl_2_O_4_, a new refractory mineral from the NWA 1934 meteorite. American Mineralogist 96, 709-715","monoclinic","","Ca Al O","Kro"
"Kumdykolite","NaAlSi_3_O_8_","Na(AlSi_3_O_8_)","Na Al Si O","IMA2007-049","","5649","Kazakhstan","2007","Approved"," "," ","Hwang S L, Shen P, Chu H T, Yui T F, Liou J G, Sobolev N V (2009) Kumdykolite, an orthorhombic polymorph of albite, from the Kokchetav ultrahigh-pressure massif, Kazakhstan, European Journal of Mineralogy 21, 1325-1334","orthorhombic","411","Na Al Si O","Kdy"
"Lakargiite","CaZr^4+^O_3_","CaZrO_3_","Ca Zr O","IMA2007-014","","5620","Russia","2007","Approved","Perovskite"," ","Galuskin E V, Gazeev V M, Armbruster T, Zadov A E, Galuskina I O, Pertsev N N, Dzierzanowski P, Kadiyski M, Gurbanov A G, Wrzalik R, Winiarski A (2008) Lakargiite CaZrO_3_: A new mineral of the perovskite group from the North Caucasus, Kabardino-Balkaria, Russia, American Mineralogist 93, 1903-1910","orthorhombic","354","Ca Zr^4+ O","Lak"
"Machiite","Al_2_Ti^4+^_3_O_9_","Al_2_Ti_3_O_9_","Al Ti O","IMA2016-067","","6596","Australia (meteorite)","2016","Approved","Schreyerite"," ","Krot A N, Nagashima K, Rossman G R (2020) Machiite, Al_2_Ti_3_O_9_, a new oxide mineral from the Murchison carbonaceous chondrite: A new ultra-refractory phase from the solar nebula. American Mineralogist 105, 239-243","monoclinic","4700","Al Ti^4+ O","Mci"
"Magnetite","Fe^2+^Fe^3+^_2_O_4_","Fe^2+^Fe^3+^_2_O_4_","Fe O","","R060191 R060222 R060656 R061111 R080025 R140861","2965","?","1789","Grandfathered|Approved","Spinel","spinel","Hoffmann C A S (1789) Mineralsystem des Herrn Inspektor Werners mit dessen erlaubnis herausgegeben von C A S Hoffmann. 131) Magnetischer=Eisenstein, Bergmannisches Journal 1, 369-398

Haidinger W (1845) Zweite Klasse: Geogenide. XI. Ordnung, Erze. X. Eisennerz. Magnetit., in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 546-555","cubic","4700","Fe^2+ Fe^3+ O","Mag"
"Merrihueite","(K,Na)_2_(Fe^2+^,Mg)_5_Si_12_O_30_","(K,Na)_2_(Fe^2+^,Mg)_5_Si_12_O_30_","K Na Fe Mg Si O","IMA1965-020","","3103","Romania","1965","Approved","Milarite","milarite","Dodd R T, Van Schmus W R, Marvin U B (1965) Merrihueite, a new alkali-ferromagnesian silicate from the Mezo-Madaras chondrite, Science 149, 972-974","hexagonal","","K Na Fe^2+ Mg Si O","Mhu"
"Merrillite","Ca_9_NaMg(PO_4_)_7_","Ca_9_NaMg(PO_4_)_7_","Ca Na Mg P O","IMA1976 s.p.","R150063","5059","Italy (meteorite) / India (meteorite) / Poland (meteorite) / USA (meteorite)","1917","Approved|Redefined","Cerite"," ","Wherry E T (1917) Merrillite, meteoritic calcium phosphate, American Mineralogist 2, 119-119","hexagonal","4700","Ca Na Mg P O","Mer"
"Monipite","MoNiP","MoNiP","Mo Ni P","IMA2007-033","","5633","Mexico (meteorite)","2007","Approved","Barringerite"," ","Ma C, Beckett J R, Rossman G R (2014) Monipite, MoNiP, a new phosphide mineral in a Ca-Al-rich inclusion from the Allende meteorite. American Mineralogist 99, 198-205","hexagonal","4567.61","Mo Ni P","Mnp"
"Nazarovite","Ni_12_P_5_","Ni_12_P_5_","Ni P","IMA2019-013","","6903","Israel (meteorite)","2019","Pending publication|Approved"," "," ","Britvin S.N., Murashko M.N., Krzhizhanovskaya M.G., Vereshchagin O.S., Vapnik Y., Shilovskikh V.V. and Lozhkin M.S. (2019) Nazarovite, IMA 2019-013. CNMNC Newsletter No. 50; Mineralogical Magazine, 83, doi: 10.1180/ mgm.2019.46","tetragonal","","Ni P","Naz"
"Nepheline","Na_3_K(Al_4_Si_4_O_16_)","Na_3_K(Al_4_Si_4_O_16_)","Na K Al Si O","IMA2018 s.p.","R040025 R060581 R090059","3329","Italy","1801","Grandfathered|Approved","Tridymite-Nepheline, Tridymite-Nepheline","nepheline","Haüy R J (1801) Népheline, Traité de minéralogie 3, 186-190

Chemical formula changed from NaAlSiO_4_:
Hamada M, Akasaka M, Ohfuji H (2019) Crystal chemistry of K-rich nepheline in nephelinite from Hamada, Shimane Prefecture, Japan. Mineralogical Magazine 83, 239-247","hexagonal","4700","Na K Al Si O","Nph"
"Nickelphosphide","Ni_3_P","Ni_3_P","Ni P","IMA1998-023","R070134","3352","USA (meteorite)","1998","Approved"," "," ","Britvin S N, Kolomensky V D, Boldyreva M M, Bogdanova A N, Kretser Y L, Boldyreva O N, Rudashesky N S (1999) Nickelphosphide (Ni,Fe)_3_P, the nickel analog of schreibersite, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 128(3), 64-72","tetragonal","4620","Ni P","Nic"
"Niningerite","MgS^2-^","MgS","Mg S","IMA1966-036","","3362","Azerbaijan (meteorite)","1966","Approved","Rocksalt","galena","Keil K, Snetsinger K G (1967) Niningerite: A new meteoritic sulfide, Science 155, 451-453","cubic","4563","Mg S^2-","Nng"
"Oldhamite","CaS^2-^","CaS","Ca S","","","3413","India","1863","Grandfathered|Approved","Rocksalt","galena","Maskelyne N S (1863) On aërolites, Report of the Thirty-second Meeting of the British Association for the Advancement of Science 32, 188-190","cubic","4563","Ca S^2-","Old"
"Osbornite","Ti^3+^N^3-^","TiN","Ti N","","","3457","India (meteorite)","1870","Grandfathered|Approved","Rocksalt"," ","Story-Maskelyne N (1870) X. On the mineral constituents of meteorites. Philosophical Transactions of the Royal Society of London 160, 189-214","cubic","2742","Ti^3+ N^3-","Obn"
"Osmium","Os","Os","Os","IMA1991 s.p.","R060823 R080088","3458","Indonesia","1804","Approved|Redefined"," ","osmium","Tennant S (1804) On two metals, found in the black powder remaining after the solution of platina, Philosophical Transactions of the Royal Society of London 329, 411-418","hexagonal","3254","Os","Os"
"Panguite","(Ti^4+^,Al,Sc^3+^,Mg,Zr^2+^,Ca)_1.8_O_3_","(Ti,Al,Sc,Mg,Zr,Ca)_1.8_O_3_","Ti Al Sc Mg Zr Ca O","IMA2010-057","","5882","Mexico (meteorite)","2010","Approved","Not in a structural group"," ","Ma C, Tschauner O, Beckett J R, Rossman G R, Liu W (2012) Panguite, (Ti<sup>4+</sup>,Sc,Al,Mg,Zr,Ca)<sub>1.8</sub>O<sub>3</sub>, a new ultra-refractory titania mineral from the Allende meteorite: Synchrotron micro-diffraction and EBSD, American Mineralogist 97, 1219-1225","orthorhombic","4567.61","Ti^4+ Al Sc^3+ Mg Zr^2+ Ca O","Pgu"
"Paqueite","Ca_3_Ti^4+^Si_2_(Al,Ti^4+^,Si)_3_O_14_","Ca_3_TiSi_2_(Al,Ti,Si)_3_O_14_","Ca Ti Si Al O","IMA2013-053","","6216","Mexico (meteorite)","2013","Approved","Paqueite"," ","Ma C, Beckett J R (2016) Burnettite, CaVAlSiO_6_, and paqueite, Ca_3_TiSi_2_(Al_2_Ti)O_14_, two new minerals from Allende: Clues to the evolution of a V-rich Ca-Al-rich inclusion. Lunar and Planetary Science 47, 1595-1595

","hexagonal","4567.61","Ca Ti^4+ Si Al O","Paq"
"Pentlandite","(Ni,Fe)_9_S_8_","(Ni,Fe)_9_S_8_","Ni Fe S","","R060144","3576","United Kingdom","1856","Grandfathered|Approved","Pentlandite","pentlandite","Dufrénoy A (1856) Pentlandite, in Traité de Minéralogie, Volume 2, Victor Dalmont (Paris) 549-553","cubic","4700","Ni Fe S","Pn"
"Perovskite","CaTi^4+^O_3_","CaTiO_3_","Ca Ti O","","R050456 R060345 R110178 R120121 R130037","3587","Russia","1839","Grandfathered|Approved","Perovskite","perovskite","Rose G (1839) Beschreibung einiger neuen mineralien des Urals, Annalen der Physik und Chemie 48, 551-573","orthorhombic|cubic, monoclinic","4700","Ca Ti^4+ O","Prv"
"Perryite","(Ni,Fe)_8_(Si,P)_3_","(Ni,Fe)_8_(Si,P)_3_","Ni Fe Si P","IMA1968 s.p.","R070052","3591","Malawi / Oman (meteorite)","1965","Approved"," "," ","Fredriksson K, Henderson E P (1965) The Horse Creek, Baca County, Colorado, iron meteorite, Transactions of the American Geophysical Union 46, 121-121

Mineral name rejected because of inadequate description:
International Mineralogical Association (1968) International Mineralogical Association: Commission on new minerals and mineral names, Mineralogical Magazine 36, 1143-1145

Redefined:
Reed S J B (1968) Perryite in the Kota-Kota and South Oman enstatite chondrites, Mineralogical Magazine 36, 850-854

Chemical formula changed from (Ni,Fe)_2_(Si,P):
Okada A, Kobayashi K, Ito T, Sakurai T (1991) Structure of synthetic perryite, (Ni,Fe)_8_(Si,P)_3_, Acta Crystallographica C47, 1358-1361","hexagonal","536.5","Ni Fe Si P","Pry"
"Pigeonite","(Mg,Fe^2+^,Ca)SiO_3_","(Mg,Fe,Ca)_2_Si_2_O_6_","Mg Fe Ca Si O","IMA1988 s.p.","R200002","3638","USA","1900","Approved","Pyroxene"," ","Winchell A N (1900) Mineralogical and petrographic study of the gabbroid rocks of Minnesota, and more particularly, of the pagioclasytes, The American Geologist 26, 197-245","monoclinic","4568.5","Mg Fe^2+ Ca Si O","Pgt"
"Quartz","SiO_2_","SiO_2_","Si O","IMA1967 s.p.","R040031 R050125 R060604 RS686899 RS631742 R100134 R110104 R110108 R150074 R150091","3763","unknown","0","Approved","Quartz"," ","Mineral name and variations have been known since antiquity and predate any formal descriptive publication. For instance:
Agricola G (1546) Book V. Quartz, in De Natura Fossilium, Froben (Basileae) 249-275","hexagonal","4330","Si O","Qz"
