"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Addibischoffite","Ca_2_Al_6_Al_6_O_20_","Ca_2_Al_6_Al_6_O_20_","Ca Al O","IMA2015-006","","6412","Algeria (meteorite)","2015","Approved","Sapphirine"," ","Ma C, Krot A N, Nagashima K (2017) Addibischoffite, Ca_2_Al_6_Al_6_O_20_, a new calcium aluminate mineral from the Acefer 214 CH carbonaceous chondrite: A new refractory phase from the solar nebula. American Mineralogist 102, 1556-1560

","triclinic","","Ca Al O","Add"
"Åkermanite","Ca_2_MgSi_2_O_7_","Ca_2_MgSi_2_O_7_","Ca Mg Si O","","R061085 R061100","814","Sweden","1884","Grandfathered|Approved","Melilite","melilite","Vogt I H L (1890) Die mineralien der melilithgruppe - nämlich gehlenit, melilith und ein neues tetragonales, nicht Al<sub>2</sub>O<sub>3</sub>-führendes (Ca,Mg)O-silikat (Åkermanit), nebst zwischengliedern, Archiv for Mathematik og Naturvidenskab 13, 310-402","tetragonal","4330","Ca Mg Si O","Åk"
"Alabandite","Mn^2+^S^2-^","MnS","Mn S","","R070174","820","Romania / Turkey","1822","Grandfathered|Approved","Rocksalt","galena","Called alabandina sulfurea by Don Andres Manuel del Rio as reported in:
Haüy R J (1822) Manganèse sulfuré, Traité de Minéralogie 4, 268-272

Renamed alabandine:
Beudant F S (1832) Alabandine, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 399-400","cubic","4620","Mn^2+ S^2-","Abd"
"Albite","NaAlSi_3_O_8_","Na(AlSi_3_O_8_)","Na Al Si O","","R040068 R040129 R050253 R050402 R060054 R070268 R100169","824","Sweden","1815","Grandfathered|Approved","Feldspar","feldspar","Gahn J G, Berzelius J (1815) Underfökning af nagra i grannskapet af Fahlun funna Fossilier, Afhandlingar i Fysik, Kemi och Mineralogi 4, 148-216 (see page 180)","triclinic","4620","Na Al Si O","Ab"
"Allendeite","Sc^3+^_4_Zr^4+^_3_O_12_","Sc_4_Zr_3_O_12_","Sc Zr O","IMA2007-027","","5629","Mexico (meteorite)","2007","Approved"," "," ","Ma C, Beckett J R, Rossman G R (2014) Allendeite (Sc_4_Zr_3_O_12_) and hexamolybdenum (Mo,Ru,Fe), two new minerals from an ultrarefractory inclusion from the Allende meteorite. American Mineralogist 99, 654-666","hexagonal","4567.61","Sc^3+ Zr^4+ O","Aed"
"Anorthite","CaAl_2_Si_2_O_8_","Ca(Al_2_Si_2_O_8_)","Ca Al Si O","","R040059 R050104 R060082 R060193 R060221 R060275 R070510 R070598 R100170 R130296 R190029","898","Italy","1823","Grandfathered|Approved","Feldspar","feldspar","Rose G (1823) Ueber den Feldspath, Albit, Labrador und Anorthit, Annalen der Physik und der Physikalischen Chemie 73, 173-208","triclinic|unknown","4700","Ca Al Si O","An"
"Armalcolite","(Mg,Fe^2+^)Ti^4+^_2_O_5_","(Mg,Fe^2+^)Ti_2_O_5_","Mg Fe Ti O","IMA1970-006","R070260 R110187 R110188","936","Moon","1970","Approved|Redefined","Pseudobrookite"," ","Anderson A T, Bunch T E, Cameron E N, Haggerty S E, Boyd F R, Finger L W, James O B, Keil K, Prinz M, Ramdohr P, El Goresy A (1970) Armalcolite: a new mineral from the Apollo 11 samples, Geochimica et Cosmochimica Acta Supplement, Proceedings of the Apollo 11 Lunar Science Conference 1, 55-63","orthorhombic","4567.61","Mg Fe^2+ Ti^4+ O","Arm"
"Augite","(Ca,Mg,Fe^2+^,Fe^3+^)_2_(Si,Al)_2_O_6_","(Ca,Mg,Fe)_2_Si_2_O_6_","Ca Mg Fe Si O","","R061086 R061108 R070231 R110063 R190030","987","?","1685","Approved","Pyroxene","pyroxene","Pliny [translated by Hardouin, 1685] (77) Augites, in Caii Plinii secundi Naturalis historiae libri XXXVII interpretatione et notis illustravit Joannes Harduinus in usum Delphini, Franciscum Muguet (Paris) 406-406

The name was used to describe several different species until this paper:
Werner A G (1792) Geognostische Beobachtungen, auf einer Reife durch einen Theil des böhmischen Mittelgebirges, Bergmannisches Journal 1, 215-266","monoclinic","4700","Ca Mg Fe^2+ Fe^3+ Si Al O","Aug"
"Awaruite","Ni_3_Fe","Ni_3_Fe","Ni Fe","","R061020 R070671","997","New Zealand","1885","Grandfathered|Approved","Perovskite, Auricupride"," ","Skey W (1885) On a new mineral (awaruite) from Barn Bay, Transactions and Proceedings of the New Zealand Institute 18, 401-402","cubic","4620","Ni Fe","Awr"
"Baddeleyite","Zr^4+^O_2_","ZrO_2_","Zr O","","R060016 R060078 R100171","1003","Sri Lanka","1893","Grandfathered|Approved","Baddeleyite"," ","Fletcher L (1893) On baddeleyite (native zirconia), a new mineral, from Rakawana, Ceylon, Mineralogical Magazine 10, 148-160","monoclinic|orthorhombic","4567.61","Zr^4+ O","Bdy"
