"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Chromite","Fe^2+^Cr^3+^_2_O_4_","Fe^2+^Cr_2_O_4_","Fe Cr O","","R110059 R110060","1463","France","1845","Grandfathered|Approved","Spinel","spinel","The mineral, while previously known, was named in this publication:
Haidinger W (1845) Chromit, in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 550-550","cubic","4700","Fe^2+ Cr^3+ O","Chr"
"Corundum","Al_2_O_3_","Al_2_O_3_","Al O","","R040096 R060020 RS899436 RS570316 RS796049 RS863332 R100131 R100142 R110096 R110097 R110098 R110099 R110110 R110111 R110116 R110117 R110119 RS812608","1562","India ?","0","Grandfathered|Approved","Corundum","hematite","Mineral name has been known since antiquity and predates any formal descriptive publication.","hexagonal","4700","Al O","Crn"
"Diamond","C","C","C","","R050204 R050205 R050206 R050207 RS809893 R150105 R150106 R150108 R150107 R150086 R150087 R150088 R150089","1668","unknown","0","Grandfathered|Approved","Diamond"," ","Mineral name has been known since antiquity and predates any formal descriptive publication.","cubic|orthorhombic","4700","C","Dia"
"Enstatite","MgSiO_3_","Mg_2_Si_2_O_6_","Mg Si O","","R040093 R040094 R050644 R060630 R060744 R070097 R070418 R070550 R070641 R100093 R120168 R120174","1763","Czech Republic","1855","Approved","Pyroxene","pyroxene","Kenngott A (1855) Mineralogische notizen, betreffend die bekannten species: Karstenit, dolomit, millerit, turmalin, galaktit, wasser, plagionit, diopsid, zinkit, calcit und felsobanyt, sowie zwei neue: den enstatit im geschlechte der augit-spathe und den pseudophit im geschlechte der serpentin-steatite, Sitzungsberichte der Kaiserlichen Akademie der Wissenschaften 16, 152-179","orthorhombic","4700","Mg Si O","En"
"Eskolaite","Cr^3+^_2_O_3_","Cr_2_O_3_","Cr O","","R060892","1790","Finland","1958","Grandfathered|Approved","Corundum","hematite","Kouvo O, Vuorelainen Y (1958) Eskolaite, a new chromium mineral, American Mineralogist 43, 1098-1106","hexagonal","4700","Cr^3+ O","Esk"
"Forsterite","Mg_2_SiO_4_","Mg_2_(SiO_4_)","Mg Si O","","R040018 R040052 R040057 R050117 R060539 R060535 R060551 R100099 R100100 R100101 R100140","1972","Italy","1824","Grandfathered|Approved","Olivine","olivine","Levy M (1824) Observations on the preceding paper, with an account of a new mineral, The Annals of Philosophy 7, 59-62","orthorhombic|unknown","4700","Mg Si O","Fo"
"Graphite","C","C","C","","R050503 R090047 R120025","2144","unknown","1789","Grandfathered|Approved"," "," ","Werner A G (1789) Mineralsystem des Herrn Inspektor Werners mit dessen Erlaubnis herausgegeben von E.U.G. Hoffmann, Bergmannisches Journal 1, 369-386","orthorhombic|hexagonal","4700","C","Gr"
"Hibonite","CaAl_12_O_19_","CaAl_12_O_19_","Ca Al O","","R061069","2275","Madagascar","1956","Grandfathered|Approved","Plumboferrite","plumboferrite","Curien H, Guillemin C, Orcel J, Sternberg M (1956) La hibonite, nouvelle espèce minérale, Comptes Rendus Hebdomadaires des Séances de l’Académie des Sciences 242, 2845-2847

Chemical formula changed from (Ca,Ce)(Al,Ti,Mg)_12_O_19_:
Miyawaki R, Hatert F, Pasero M, Mills S J (2019) IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 50. New minerals and nomenclature modifications approved in 2019. Mineralogical Magazine 83, 615-620","hexagonal","4700","Ca Al O","Hbn"
"Ice","H_2_O","H_2_O","H O","","","2368","unknown","0","Grandfathered|Approved","Amorphous, Tridymite"," ","Mineral name has been known since antiquity and predates any formal descriptive publication.","","4000","H O","Ice"
"Iron","Fe","Fe","Fe","","R070255","2487","unknown","0","Grandfathered|Approved","Iron","iron","Mineral name has been known since antiquity and predates any formal descriptive publication.","cubic","4700","Fe","Fe"
"Khamrabaevite","Ti^4+^C^4-^","TiC","Ti C","IMA1983-059","","2637","Uzbekistan","1983","Approved","Rocksalt","tantalcarbide","Novgorodova M I, Yusupov R G, Dmitrieva M T, Tsepin A I, Sivtsov A V, Gorshkov A I (1984) Khamrabaevite, (Ti,V,Fe)C, a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 113, 697-703","cubic","4567.61","Ti^4+ C^4-","Krb"
"Magnetite","Fe^2+^Fe^3+^_2_O_4_","Fe^2+^Fe^3+^_2_O_4_","Fe O","","R060191 R060222 R060656 R061111 R080025 R140861","2965","?","1789","Grandfathered|Approved","Spinel","spinel","Hoffmann C A S (1789) Mineralsystem des Herrn Inspektor Werners mit dessen erlaubnis herausgegeben von C A S Hoffmann. 131) Magnetischer=Eisenstein, Bergmannisches Journal 1, 369-398

Haidinger W (1845) Zweite Klasse: Geogenide. XI. Ordnung, Erze. X. Eisennerz. Magnetit., in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 546-555","cubic","4700","Fe^2+ Fe^3+ O","Mag"
"Moissanite","SiC","SiC","Si C","","R061083 R110106 R150016","3190","USA (meteorite)","1905","Grandfathered|Approved","Wurtzite"," ","Kunz G F (1905) Moissanite, a natural silicon carbide, American Journal of Science 19, 396-397","hexagonal|cubic","4620","Si C","Moi"
"Nierite","Si_3_N_4_","Si_3_N_4_","Si N","IMA1994-032","R120128","3356","Azerbaijan (meteorite)","1994","Approved"," "," ","Lee M R, Russell S S, Arden J W, Pillinger C T (1995) Nierite (Si_3_N_4_), a new mineral from ordinary and enstatite chondrites, Meteoritics 30, 387-398","hexagonal","4700","Si N","Nr"
"Oldhamite","CaS^2-^","CaS","Ca S","","","3413","India","1863","Grandfathered|Approved","Rocksalt","galena","Maskelyne N S (1863) On aërolites, Report of the Thirty-second Meeting of the British Association for the Advancement of Science 32, 188-190","cubic","4563","Ca S^2-","Old"
"Osmium","Os","Os","Os","IMA1991 s.p.","R060823 R080088","3458","Indonesia","1804","Approved|Redefined"," ","osmium","Tennant S (1804) On two metals, found in the black powder remaining after the solution of platina, Philosophical Transactions of the Royal Society of London 329, 411-418","hexagonal","3254","Os","Os"
"Ruthenium","Ru","Ru","Ru","IMA1974-013","","3914","Japan","1974","Approved"," ","osmium","Urashima Y, Wakabayashi T, Masaki T, Terasaki Y (1974) Ruthenium, a new mineral from Horakanai, Hokkaido, Japan, Mineralogical Journal 7, 438-444","hexagonal","3640","Ru","Ru"
"Rutile","Ti^4+^O_2_","TiO_2_","Ti O","","R040049 R050031 R050417 R060493 R060745 R110109 R120008","3916","Spain","1800","Grandfathered|Approved","Rutile","rutile","Known previously, but named rutile by Werner:
Lampadius W A (1800) Noch ein Paar Bemertungen über den Uran- und Titangehalt einiger Fossilien. Der rothe schörl (Rutil, nach herrn Bergrath Werner), in Sammlung practisch-chemischer Abhandlungen und vermischter Bemerkungen, Volume 3, Walther (Dresden)","tetragonal","4620","Ti^4+ O","Rt"
"Schreibersite","(Fe,Ni,Cr)_3_P","(Fe,Ni)_3_P","Fe Ni P","","R070239","4001","Chile","1848","Grandfathered|Approved"," "," ","Haidinger W (1848) Versammlung, am 16. Juli, Berichte Über die Mittheilungen von Freunden der Naturwissenschaften in Wien 3, 65-83","tetragonal","4700","Fe Ni Cr P","Scb"
"Spinel","MgAl_2_O_4_","MgAl_2_O_4_","Mg Al O","","R050184 R050259 R050411 R050392 R060798 R060799 R070013 RS549903 RS886298 R100133 R110101 R120116","4160","unknown","0","Grandfathered|Approved","Spinel","spinel","Mineral name has been known since antiquity and predates any formal descriptive publication","cubic","4700","Mg Al O","Spl"
"Taenite","(Fe,Ni)","(Ni,Fe)","Ni Fe","","","4296","New Zealand ?","1861","Grandfathered|Approved"," ","iron","Reichenbach (1861) Ueber die näheren Bestandtheile des Meteoreisens, Annalen der Physik und Chemie 114, 250-263","cubic","4620","Fe Ni","Tae"
"Troilite","Fe^2+^S^2-^","FeS","Fe S","","R070242 R070213","4460","Italy (meteorite)","1863","Grandfathered|Approved"," "," ","Haidinger M W (1863) Der Meteorit von Albareto im k. k. Hof-Mineraliencabinet, vom Jahre 1766, und der Troilit, Sitzungsberichte der Kaiserlichen Akademie der Wissenschaften 47, 283-298","hexagonal","4700","Fe^2+ S^2-","Tro"
