"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Afghanite","Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_","(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_","Na K Ca Si Al O S Cl","IMA1967-041","R060422 R070558","796","Afghanistan","1967","Approved","Cancrinite-sodalite","cancrinite-sodalite","Bariand P, Cesbron F, Giraud R (1968) Une nonvelle espece minerale: L’afghanite de Sar–e–Sang, Badakhshan, Afghanistan–Comparaison avec les mineraux du groupe de la cancrinite, Bulletin de la Société Française de Minéralogie et de Cristallographie 91, 34-42

Chemical formula revised:
Ballirano P, Bonaccorsi E, Maras A, Merlino S (1997) Crystal structure of afghanite, the eight-layer member of the cancrinite-group: evidence for long-range Si,Al ordering, European Journal of Mineralogy 9, 21-30","hexagonal","1600","Na Ca Si Al O S^6+ Cl","Afg"
"Afmite","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O","Al O H P","IMA2005-025a","R130082","5844","France","2005","Approved"," "," ","Kampf A R, Mills S J, Rossman G R, Steele I M, Pluth J J, Favreau G (2011) Afmite, Al<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)·H<sub>2</sub>O, a new mineral from Fumade, Tarn, France: description and crystal structure, European Journal of Mineralogy 23, 269-277","triclinic","975.3","Al O H P","Afm"
"Agakhanovite-(Y)","Y^3+^Ca[box]_2_KBe_3_Si_12_O_30_","YCa[box]_2_KBe_3_Si_12_O_30_","Y Ca K Be Si O","IMA2013-090","","6248","Norway","2013","Approved","Milarite"," ","Hawthorne F C, Abdu Y A, Ball N A, Černý P, Kristiansen R (2014) Agakhanovite-(Y), ideally (YCa)[box]_2_KBe_3_Si_12_O_30_, a new milarite-group mineral from the Heftetjern pegmatite, Tørdal, Southern Norway: description and crystal structure. American Mineralogist 99, 2084-2088","hexagonal","967","Y^3+ Ca K Be Si O","Agk-Y"
"Agrellite","NaCa_2_Si_4_O_10_F","NaCa_2_Si_4_O_10_F","Na Ca Si O F","IMA1973-032","R060914","804","Canada","1973","Approved","Not in a structural group"," ","Gittins J, Bown M G, Sturman D (1976) Agrellite, a new rock-forming mineral in regionally metamorphosed agpaitic alkalic rocks, The Canadian Mineralogist 14, 120-126","triclinic","1240","Na Ca Si O F","Are"
"Åkermanite","Ca_2_MgSi_2_O_7_","Ca_2_MgSi_2_O_7_","Ca Mg Si O","","R061085 R061100","814","Sweden","1884","Grandfathered|Approved","Melilite","melilite","Vogt I H L (1890) Die mineralien der melilithgruppe - nämlich gehlenit, melilith und ein neues tetragonales, nicht Al<sub>2</sub>O<sub>3</sub>-führendes (Ca,Mg)O-silikat (Åkermanit), nebst zwischengliedern, Archiv for Mathematik og Naturvidenskab 13, 310-402","tetragonal","4330","Ca Mg Si O","Åk"
"Alabandite","Mn^2+^S^2-^","MnS","Mn S","","R070174","820","Romania / Turkey","1822","Grandfathered|Approved","Rocksalt","galena","Called alabandina sulfurea by Don Andres Manuel del Rio as reported in:
Haüy R J (1822) Manganèse sulfuré, Traité de Minéralogie 4, 268-272

Renamed alabandine:
Beudant F S (1832) Alabandine, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 399-400","cubic","4620","Mn^2+ S^2-","Abd"
"Albite","NaAlSi_3_O_8_","Na(AlSi_3_O_8_)","Na Al Si O","","R040068 R040129 R050253 R050402 R060054 R070268 R100169","824","Sweden","1815","Grandfathered|Approved","Feldspar","feldspar","Gahn J G, Berzelius J (1815) Underfökning af nagra i grannskapet af Fahlun funna Fossilier, Afhandlingar i Fysik, Kemi och Mineralogi 4, 148-216 (see page 180)","triclinic","4620","Na Al Si O","Ab"
"Alexkhomyakovite","K_6_(Ca_2_Na)(CO_3_)_5_Cl·6H_2_O","K_6_(Ca_2_Na)(CO_3_)_5_Cl·6H_2_O","K Ca Na C O Cl H","IMA2015-013","","6418","Russia","2015","Approved","Not in a structural group"," ","Pekov I V, Zubkova N V, Yapaskurt V O, Lykova I S, Chukanov N V, Belakovskiy D I, Britvin S N, Turchkova A G, Pushcharovsky D Y (2019) Alexkhomyakovite, K_6_(Ca_2_Na)(CO_3_)_5_Cl·6H_2_O, a new mineral from the Khibiny alkaline complex, Kola peninsula, Russia. European Journal of Mineralogy 31, 135-143","hexagonal","413.6","K Ca Na C O Cl H","Akmy"
"Alexkuznetsovite-(Ce)","Ce_2_Mn^2+^(CO_3_)(Si_2_O_7_)","Ce_2_Mn(CO_3_)(Si_2_O_7_)","Ce Mn C O Si","IMA2019-118","","7002","Russia","2020","Pending publication|Approved","Biraite"," ","Kasatkin,A.V., Zubkova, N.V., Pekov, I.V.,Chukanov, N.V., Škoda, R., Agakhanov, A.A. and Belakovskiy, D.I. (2020) Alexkuznetsovite-(Ce), IMA 2019-118. CNMNC Newsletter No. 54; Mineralogical Magazine, 84, https://doi.org/10.1180/mgm.
2020.21","monoclinic","","Ce Mn^2+ C O Si","Axk-Ce"
"Alexkuznetsovite-(La)","La_2_Mn^2+^(CO_3_)(Si_2_O_7_)","La_2_Mn(CO_3_)(Si_2_O_7_)","La Mn C O Si","IMA2019-081","","6965","Russia","2019","Pending publication|Approved","Biraite"," ","Kasatkin, A.V., Zubkova, N.V., Pekov, I.V., Chukanov, N.V., Škoda, R., Agakhanov, A.A., Belakovskiy, D.I. and Pushcharovsky, D.Y. (2019) Alexkuznetsovite-(La), IMA 2019-081. CNMNC Newsletter No. 52; Mineralogical Magazine, 83, https://doi.org/10.1180/mgm.2019.73","monoclinic","","La Mn^2+ C O Si","Axk-La"
"Allanite-(Ce)","CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)","CaCe(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)","Ca Ce Al Fe Si O H","IMA1987 s.p.","R050043 R060418 R080044 R080092","832","Denmark (Greenland)","1812","Approved|Renamed","Epidote, allanite","epidote","Thomson T (1812) Experiments on allanite, a new mineral from Greenland, Transactions of the Royal Society of Edinburgh 6, 371-386

Name changed from allanite:
Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042","monoclinic|unknown","3366","Ca Ce Al Fe^2+ Si O H","Aln-Ce"
"Allanite-(La)","CaLaFe^2+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)","CaLa(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)","Ca La Al Fe Si O H","IMA2003-065","R070246","4939","Italy","2003","Approved","Epidote, allanite","epidote","While the name has been used previously, it was only officially approved by IMA with this publication:
Orlandi P, Pasero M (2006) Allanite-(La) from Buca della Vena mine, Apuan Alps, Italy, an epidote-group mineral, The Canadian Mineralogist 44, 63-68","monoclinic","2816","Ca La Fe^2+ Al Si O H","Aln-La"
"Allanite-(Y)","CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)","CaY(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)","Ca Y Al Fe Si O H","IMA1966 s.p.","","833","South Africa","1949","Approved|Renamed","Epidote, allanite","epidote","Nel H J, Strauss C A, Wickman F E (1949) Lombaardite, a new mineral from the Zaaiplaats Tin Mine, Central Transvaal, Union of South Africa Department of Mines, Geological Survey Memoir 43, 45-57

Name changed from lombaardite:
Levinson A A (1966) A system of nomenclature for rare-earth minerals, American Mineralogist 51, 152-158","monoclinic","2698","Ca Y Al Fe^2+ Si O H","Aln-Y"
"Allophane","Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O","Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O","Al O Si H","","R070188 R120001","837","Germany","1816","Grandfathered|Approved","Allophane","kaolinite-serpentine-serpentine subgroup","Hausmann J F L, Stromeyer F (1816) Report at the Royal Academy of Sciences Göttingen meeting 13 July, 1816 on silberkupferglanz and allophan, Göttingische Gelehrte Anzeigen 2, 1249-1253","","4000","Al O Si H","Alp"
"Alluaivite","Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O","Na_19_(Ca,Mn^2+^)_6_(Ti,Nb)_3_Si_26_O_74_Cl·2H_2_O","Na Ca Mn Ti Nb Si O Cl H","IMA1988-052","","838","Russia","1988","Approved","Eudialyte"," ","Khomyakov A P, Netschelyustov G N, Rastsvetaeva R K (1990) Alluaivite Na<sub>19</sub>(Ca,Mn)<sub>6</sub>(Ti,Nb)<sub>3</sub>Si<sub>26</sub>O<sub>74</sub>Cl·2H<sub>2</sub>O – a new titanosilicate of eudialyte–like structure, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 119(1), 117-120","hexagonal","1540","Na Ca Mn^2+ Ti^4+ Nb^5+ Si O Cl H","Aav"
"Alluaudite","[box]NaMn^2+^Fe^3+^_2_(PO_4_)_3_","[box]NaMnFe^3+^_2_(PO_4_)_3_","Na Mn Fe P O","","R160080 R160081 R140711 R141067","839","France","1848","Approved|Redefined","Alluaudite","alluaudite","Damour A A (1848) Sur un nouveau phosphate de fer, de manganèse et de soude, l'alluaudite, trouvé dans le département de la Haute-Vienne, Annales des Mines 13, 341-350

Redefined:
Moore P B, Ito J (1979) Alluaudites, wyllieites, arrojadites: crystal chemistry and nomenclature, Mineralogical Magazine 43, 227-235

Chemical formula changed from (Na,Ca)(Mn,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_:
Hatert F (2019) A new nomenclature scheme for the alluaudite supergroup. European Journal of Mineralogy 31, 807-822","monoclinic","2772","Na Mn^2+ Fe^3+ P O","Ald"
"Almandine","Fe^2+^_3_Al_2_(SiO_4_)_3_","Fe^2+^_3_Al_2_(SiO_4_)_3_","Fe Al Si O","","R040076 R040079 R040168 R050029 R060099 R060450 R070129 R100046 R120145 R120152 R190023","840","Turkey","0","Grandfathered|Approved","Garnet","garnet","Mineral name, or its predecessor alabandina, has been known since antiquity and predates any formal descriptive publication.","cubic|unknown","2925","Fe^2+ Al Si O","Alm"
"Almeidaite","Pb^2+^Zn^2+^_2_(Mn^2+^,Y^3+^)(Ti^4+^,Fe^3+^)_18_O_36_(OH,O)_2_","PbZn_2_(Mn,Y)(Ti,Fe^3+^)_18_O_36_(OH,O)_2_","Pb Zn Mn Y Ti Fe O H","IMA2013-020","","6157","Brazil","2013","Approved","Crichtonite"," ","Menezes L A D, Chukanov N V, Rastsvetaeva R K, Aksenov S M, Pekov I V, Chaves M L S C, Richards R P, Atencio D, Brandão P R G, Scholz R, Krambrock K, Moreira R L, Guimarães F S, Romano A W, Persiano A C, de Oliveira L C A, Ardisson J D (2015) Almeidaite, Pb(Mn,Y)Zn_2_(Ti,Fe^3+^)_18_O_36_(O,OH)_2_, a new crichtonite-group mineral, from Novo Horizonte, Bahia, Brazil. Mineralogical Magazine 79, 269-283","hexagonal","1192","Pb^2+ Zn^2+ Mn^2+ Y^3+ Ti^4+ Fe^3+ O H","Amd"
"Alnaperbøeite-(Ce)","(CaCe_2.5_Na_0.5_)Al_4_(Si_2_O_7_)(SiO_4_)_3_O(OH)_2_","(CaCe_2.5_Na_0.5_)(Al_4_)(Si_2_O_7_)(SiO_4_)_3_O(OH)_2_","Ca Ce Na Al Si O H","IMA2012-054","","6110","Norway","2012","Approved","Gatelite"," ","Bonazzi P, Lepore G O, Bindi L, Chopin C, Husdal T A, Medenbach O (2014) Perbøeite-(Ce) and alnaperbøeite-(Ce), two new members of the epidote-törnebohmite polysomatic series: Chemistry, structure, dehydrogenation, and clue for a sodian epidote end-member. American Mineralogist 99, 157-169","monoclinic","1788","Ca Ce Na Al Si O H","Apbø-Ce"
"Alsakharovite-Zn","NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O","NaSrKZn(Ti,Nb)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O","Na Sr K Zn Ti Nb Si O H","IMA2002-003","","841","Russia","2002","Approved","Labuntsovite","labuntsovite","Pekov I V, Chukanov N V, Zadov A E, Rosenberg K A, Rastsvetaeva R K (2003) Alsakharovite-Zn, NaSrKZn(Ti,Nb)<sub>4</sub>[Si<sub>4</sub>O<sub>12</sub>]<sub>2</sub>(O,OH)<sub>4</sub>·7H<sub>2</sub>O, a new mineral of the labuntsovite group from Lovozero massif, Kola Peninsula, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 132(1), 52-58","monoclinic","370","Na Sr K Zn^2+ Ti^4+ Nb^5+ Si O H","Ask-Zn"
"Alstonite","BaCa(CO_3_)_2_","BaCa(CO_3_)_2_","Ba Ca C O","","R050483 R090049","842","United Kingdom","1841","Grandfathered|Approved","Alstonite"," ","Breithaupt A (1841) Holoëdrites syntheticus oder alstonit, Vollständiges Handbuch der Mineralogie 2, 255-256","orthorhombic|triclinic, hexagonal","2070","Ba Ca C O","Asn"
"Althausite","Mg_4_(PO_4_)_2_(OH,O)(F,[box])","Mg_4_(PO_4_)_2_(OH,O)(F,[box])","Mg P O H F","IMA1974-050","R070113","844","Norway","1974","Approved","Not in a structural group"," ","Raade G, Tysseland M (1975) Althausite, a new mineral from Modum, Norway, Lithos 8, 215-219

Chemical formula revised:
Rømming C, Raade G (1980) The crystal structure of althausite, Mg<sub>4</sub>(PO<sub>4</sub>)<sub>2</sub>(OH,O)(F,[box]), American Mineralogist 65, 488-498","orthorhombic","582","Mg P O H F","Ahs"
"Altisite","Na_3_K_6_Ti^4+^_2_Al_2_Si_8_O_26_Cl_3_","Na_3_K_6_Ti_2_Al_2_Si_8_O_26_Cl_3_","Na K Ti Al Si O Cl","IMA1993-055","","846","Russia","1993","Approved","Lemoynite"," ","Khomyakov A P, Nechelyustov G N, Ferraris G, Ivaldi G (1994) Altisite Na<sub>3</sub>K<sub>6</sub>Ti<sub>2</sub>Al<sub>2</sub>Si<sub>8</sub>O<sub>26</sub>Cl<sub>3</sub> – a new mineral, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 123(6), 82-86","monoclinic","413.6","Na K Ti^4+ Al Si O Cl","Ati"
"Aluminium","Al","Al","Al","IMA1980-085a","R070230","4921","Russia","1978","Approved","Copper","lead","Oleinikov B V, Okrugin A V, Leskova N V (1978) Petrological significance of the occurence of native aluminum in basic rocks, Doklady Akademii Nauk SSSR 243, 191-194","cubic","419","Al","Al"
"Aluminocerite-(Ce)","(Ce,Ca)_9_Al(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_","(Ce,REE,Ca)_9_(Al,Fe^3+^)(SiO_4_)_3_[SiO_3_(OH)]_4_(OH)_3_","Ce REE Ca Al Fe Si O H","IMA2007-060","","5659","Italy","2007","Approved","Cerite"," ","Nestola F, Guastoni A, Cámara F, Secco L, Dal Negro A, Pedron D, Beran A (2009) Aluminocerite-Ce: A new species from Baveno, Italy: Description and crystal-structure determination, American Mineralogist 94, 487-493","hexagonal","485","Ce Ca Al Si O H","Acrt-Ce"
"Aluminosugilite","KNa_2_Al_2_Li_3_Si_12_O_30_","KNa_2_Al_2_Li_3_Si_12_O_30_","K Na Al Li Si O","IMA2018-142","","6879","Italy","2019","Approved","Milarite"," ","Nagashima M, Fukuda C, Matsumoto T, Imaoka T, Odicino G, Armellino G (2020) Aluminosugilite, KNa_2_Al_2_Li_3_Si_12_O_30_, an Al analogue of sugilite, from the Cerchiara mine, Liguria, Italy. European Journal of Mineralogy 32, 57-66","hexagonal","","K Na Al Li Si O","Asug"
"Alumoåkermanite","(Ca,Na)_2_(Al,Mg,Fe^2+^)(Si_2_O_7_)","(Ca,Na)_2_(Al,Mg,Fe^2+^)(Si_2_O_7_)","Ca Na Al Mg Fe Si O","IMA2008-049","","5709","Tanzania","2008","Approved","Melilite"," ","Wiedenmann D, Zaitsev A N, Britvin S N, Krivovichev S V, Keller J (2009) Alumoåkermanite, (Ca,Na)<sub>2</sub>(Al,Mg,Fe<sup>2+</sup>)(Si<sub>2</sub>O<sub>7</sub>), a new mineral from the active carbonatite-nephelinite-phonolite volcano Oldoinyo Lengai, northern Tanzania, Mineralogical Magazine 73, 373-384","tetragonal","354","Ca Na Al Mg Fe^2+ Si O","Aåk"
"Alumotantite","AlTa^5+^O_4_","AlTaO_4_","Al Ta O","IMA1980-025","","859","Russia","1980","Approved","Not in a structural group"," ","Voloshin A V, Men’shikov Y P, Pakhomovskii Y A (1981) Alumotantite and natrotantite, new tantalum minerals in granitic pegmatites, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 110(3), 338-345","orthorhombic","2527","Al Ta^5+ O","Atan"
"Amakinite","Fe^2+^(OH)_2_","Fe(OH)_2_","Fe O H","","","863","Russia","1962","Approved","Brucite","brucite","Kozlov I T, Lershov P P (1962) Amakinite, a new mineral of the brucite-pyrochroite group, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 91(1), 72-77","hexagonal","352","Fe^2+ O H","Amk"
"Amblygonite","LiAlPO_4_F","LiAl(PO_4_)F","Li Al P O F","","R040006 R040067","866","Germany","1818","Grandfathered|Approved","Titanite-Amblygonite","amblygonite","Breithaupt A (1818) Gattung B. Amblygonit, in Handbuch der Mineralogie von C. A. S. Hoffmann, Volume 4, Craz und Gerlach (Freiberg) 159-161","triclinic","2742","Li Al P O F","Aby"
"Amicite","K_2_Na_2_(Si_4_Al_4_O_16_)·5H_2_O","K_2_Na_2_(Al_4_Si_4_O_16_)·5H_2_O","K Na Al Si O H","IMA1979-011","R080066","869","Germany","1979","Approved","Gismondine","zeolite","Alberti A, Hentschel G, Vezzalini G (1979) Amicite, a new natural zeolite, Neues Jahrbuch für Mineralogie, Monatshefte 1979, 481-488","monoclinic","413.6","K Na Si Al O H","Ami"
"Aminoffite","Ca_3_(BeOH)_2_Si_3_O_10_","Ca_3_(BeOH)_2_Si_3_O_10_","Ca Be O H Si","","R100055","870","Sweden","1937","Grandfathered|Approved","Not in a structural group"," ","Hurlbut C S (1937) Aminoffite, a new mineral from Långban, Geologiska Föreningens i Stockholm Förhandlingar 59, 290-292","tetragonal","1000","Ca Be O H Si","Amf"
"Analcime","NaAlSi_2_O_6_·H_2_O","Na(AlSi_2_O_6_)·H_2_O","Na Al Si O H","","R040128 R050094 R060023 R120095","876","Italy","1797","Approved","Analcime","zeolite","Haüy R J (1797) Analcime, Journal des Mines 5, 278-279","tetragonal|cubic, orthorhombic, monoclinic, hexagonal","2680","Na Al Si O H","Anl"
"Anatase","Ti^4+^O_2_","TiO_2_","Ti O","","R060277 R070582 R120013 R120064","879","France","1801","Approved","Not in a structural group"," ","Haüy R J (1801) Anatase, Traité de Minéralogie 3, 129-136","tetragonal","3074","Ti^4+ O","Ant"
"Ancylite-(Ce)","CeSr(CO_3_)_2_(OH)·H_2_O","CeSr(CO_3_)_2_(OH)·H_2_O","Ce Sr C O H","IMA1987 s.p.","R060218","880","Denmark (Greenland)","1901","Approved|Renamed","Ancylite","ancylite","Flink G (1901) On the minerals from Narsarsuk on the Firth of Tunugdliarfik in Southern Greenland. 11 Ancylite, Meddelelser om Grønland 24, 49-56

Name changed from ancylite:
Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042","orthorhombic","2500","Ce Sr C O H","Anc-Ce"
"Ancylite-(La)","LaSr(CO_3_)_2_(OH)·H_2_O","LaSr(CO_3_)_2_(OH)·H_2_O","La Sr C O H","IMA1995-053","","881","Russia","1995","Approved","Ancylite","ancylite","Yakovenchuk V N, Menshikov Y P, Pakhomovsky Y A, Ivanyuk G Y (1997) Ancylite-(La) Sr(La,Ce)(CO<sub>3</sub>)<sub>2</sub>·(OH)·H<sub>2</sub>O – a new carbonate from hydrothermal vein at the Kukisvumchorr mountain (Khibiny massif) and its comparison with ancylite-(Ce), Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 126(1), 96-108","orthorhombic","485","La Sr C O H","Anc-La"
"Andalusite","Al_2_SiO_5_","Al_2_SiO_5_","Al Si O","","R050258 R050449 R050561 R050626 R060197 R060212","882","Spain","1798","Grandfathered|Approved","Andalusite","andalusite","Delamétherie J C (1798) Sur une pierre de l'andalousie, Journal de Physique, de Chimie et d'Histoire Naturelle et des Arts 46, 386-387","orthorhombic","4000","Al Si O","And"
"Andradite","Ca_3_Fe^3+^_2_(SiO_4_)_3_","Ca_3_Fe^3+^_2_(SiO_4_)_3_","Ca Fe Si O","","R040001 R050256 R050311 R050377 R060358 R060350 R060326 R060423 R060449 R070722 R100049 R100138 R120004","885","Norway","1868","Grandfathered|Approved","Garnet","garnet","Dana J D, Brush G J (1868) E. Lime-Irongarnet; Andradite, in A System of Mineralogy, Fifth Edition, John Wiley and Sons (New York) 268-270","cubic|triclinic","4568.5","Ca Fe^3+ Si O","Adr"
