"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Abenakiite-(Ce)","Na_26_Ce^3+^_6_(SiO_3_)_6_(PO_4_)_6_(C^4+^O_3_)_6_(S^4+^O_2_)O","Na_26_Ce_6_(Si_6_O_18_)(PO_4_)_6_(CO_3_)_6_(SO_2_)O","Na Ce Si O P C S","IMA1991-054","","778","Canada","1991","Approved","Not in a structural group"," ","McDonald A M, Chao G Y, Grice J D (1994) Abenakiite-(Ce), a new silicophosphate carbonate mineral from Mont Saint-Hilaire, Quebec: Description and structure determination, The Canadian Mineralogist 32, 843-854","hexagonal","124","Na Ce^3+ Si O P C^4+ S^4+","Abk-Ce"
"Achalaite","Fe^2+^Ti^4+^Nb^5+^_2_O_8_","Fe^2+^TiNb_2_O_8_","Fe Ti Nb O","IMA2013-103","","6262","Argentina","2013","Approved","Wodginite"," ","Galliski M Á, Márquez-Zavalía M F, Černý P, Lira R, Colombo F, Roberts A C, Bernhardt H J (2016) Achalaite, Fe^2+^TiNb_2_O_8_, a new member of the wodginite group from the La Calandria granitic pegmatite, Córdoba, Argentina. The Canadian Mineralogist 54, 1043-1052","monoclinic","","Fe^2+ Ti^4+ Nb^5+ O","Ahl"
"Adachiite","CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH)","CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH)","Ca Fe Al Si O B H","IMA2012-101","","6164","Japan","2012","Approved","Tourmaline"," ","Nishio-Hamane D, Minakawa T, Yamaura J, Oyama T, Ohnishi M, Shimobayashi N (2014) Adachiite, a Si-poor member of the tourmaline supergroup from the Kiura mine, Oita Prefecture, Japan. Journal of Mineralogical and Petrological Sciences 109, 74-78","hexagonal","","Ca Fe^2+ Al Si O B H","Adc"
"Adamsite-(Y)","NaY^3+^(CO_3_)_2_·6H_2_O","NaY(CO_3_)_2_·6H_2_O","Na Y C O H","IMA1999-020","R070360","787","Canada","1999","Approved","Not in a structural group"," ","Grice J D, Gault R A, Roberts A C, Cooper M A (2000) Adamsite-(Y), a new sodium-yttrium carbonate mineral species from Mont Saint-Hilaire, Quebec, The Canadian Mineralogist 38, 1457-1466","triclinic","1742","Na Y^3+ C O H","Ads-Y"
"Aegirine","NaFe^3+^Si_2_O_6_","NaFe^3+^Si_2_O_6_","Na Fe Si O","","R040054 R050074 R061093 R070125 R070253 R120144 R120167","790","Norway","1835","Approved","Pyroxene","pyroxene","Berzelius J (1835) [Untitled note on aegirine], Neues Jahrbuch für Mineralogie, Geognosie, Geologie und Petrefaktenkunde 1835, 184-185","monoclinic","2613","Na Fe^3+ Si O","Aeg"
"Aegirine-augite","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","Ca Na Fe Mg Si O","","","4919","Russia","1892","Approved|Redefined","Pyroxene","pyroxene","Rosenbusch H (1892) Mineralien des monoklinen Krystallsystems. Gruppe der monoklinen Pyroxene, in Mikroskopische Physiographie der Petrographisch Wichtigen Mineralien, E.Schweizerbart'sche Verlagshandlung (E. Koch) (Stuttgart) 510-539

Redefined:
Morimoto N (1988) Nomenclature of pyroxenes, Mineralogical Magazine 52, 535-550","monoclinic","2680","Ca Na Fe^3+ Mg Fe^2+ Si O","Aeg-Aug"
"Aenigmatite","Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_]","Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_]","Na Fe Ti O Si","","R061088 R061089","791","Denmark (Greenland)","1865","Approved","Sapphirine","aenigmatite","Breithaupt A (1865) Mineralogische studien. 29. Kölbingit. Ainigmatit, Berg- und Huttenmannische Zeitung 24, 397-398","triclinic","4567.61","Na Fe^2+ Ti^4+ O Si","Aen"
"Aeschynite-(Ce)","(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","(Ce,Ca,Fe,Th)(Ti,Nb)_2_(O,OH)_6_","Ce Ca Fe Th Ti Nb O H","IMA1987 s.p.","","793","Russia","1830","Approved|Renamed","Aeschynite","aeschynite","Berzelius J (1830) Mineralogie: Aeschynit, Jahres-Bericht über die Fortschritte der Physischen Wissenschaften 9, 182-209

Name changed from aeschynite:
Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042","orthorhombic","1420","Ce^3+ Ca Fe^2+ Th^4+ Ti^4+ Nb^5+ O H","Aes-Ce"
"Aeschynite-(Nd)","(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","(Nd,Ln,Ca)(Ti,Nb)_2_(O,OH)_6_","Nd Ln Ca Ti Nb O H","","","794","China","1982","Approved","Aeschynite","aeschynite","Zhang P, Tao K (1982) Aeschynite-(Nd), Scientia Geologica Sinica 1982, 424-428","orthorhombic","580","Nd^3+ Ln^3+ Ca Ti^4+ Nb^5+ O H","Aes-Nd"
"Aeschynite-(Y)","(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","(Y,Ln,Ca,Th)(Ti,Nb)_2_(O,OH)_6_","Y Ln Ca Th Ti Nb O H","IMA1987 s.p.","R060312 R080045","795","Norway","1906","Approved|Renamed","Aeschynite","aeschynite","Originally named priorite:
Brøgger W C (1906) Die mineralien der Südnorwegischen granitpegmatitgänge: Blomstrandin (und priorit), Skrifter udgivne af Videnskabs-Selskabet i Christiania 1906(6), 1-162

Name changed to aeschynite-(Y):
Levinson A A (1966) A system of nomenclature for rare-earth minerals, American Mineralogist 51, 152-158","orthorhombic|amorphous","2000","Y^3+ Ca Th^4+ Ti^4+ Nb^5+ O H","Aes-Y"
