Mineral Name,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45a,p45b,p46,p47a,p47b,p47c,p47d,p47e,p47f,p47g,p47h,p47i,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,Lunar,BQ,BS,BT
Ferro-ferri-hornblende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,[box]Ca2(Fe2+4Fe3+)(Si7Al)O22(OH)2
Ferro-ferri-katophorite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,Na(NaCa)(Fe2+4Fe3+)(Si7Al)O22(OH)2
Ferro-ferri-nybøite,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,NaNa2(Fe2+3Fe3+2)(Si7Al)O22(OH)2
Ferro-ferri-obertiite,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,NaNa2(Fe2+3Fe3+Ti4+)Si8O22O2
Ferro-ferri-pedrizite,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,NaLi2(LiFe2+2Fe3+2)Si8O22(OH)2
Ferro-fluoro-pedrizite,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,NaLi2(Fe2+2Al2Li)Si8O22F2
Ferro-gedrite,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,[box]Fe2+2(Fe2+3Al2)(Si6Al2)O22(OH)2
Ferro-glaucophane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,[box]Na2(Fe2+3Al2)Si8O22(OH)2
Ferro-holmquistite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,[box]Li2(Fe2+3Al2)Si8O22(OH)2
Ferro-hornblende,,,,,,,,1,,,,,,,,,,,1,1,,,,,,1,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,[box]Ca2(Fe2+4Al)(Si7Al)O22(OH)2
Ferro-katophorite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,NaNaCa[Fe2+4Al](Si7Al)O22(OH)2
Ferro-pargasite,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,NaCa2(Fe2+4Al)(Si6Al2)O22(OH)2
Ferro-pedrizite,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,NaLi2(Fe2+2Al2Li)Si8O22(OH)2
Ferro-richterite,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,NaNaCaFe2+5Si8O22(OH)2
Ferro-taramite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Na(NaCa)Fe2+3Al2(Si6Al2)O22(OH)2
Ferro-tschermakite,,,,,,,,,,,,,,,,,,,1,1,,1,,,,1,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,[box]Ca2(Fe2+3Al2)(Si6Al2)O22(OH)2
Ferroalluaudite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,NaFe2+Fe3+2(PO4)3
Ferroaluminoceladonite,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,KFe2+AlSi4O10(OH)2
Ferrobobfergusonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Na2Fe2+5Fe3+Al(PO4)6
Ferrobustamite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,CaFe2+Si2O6
Ferrocarpholite,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,Fe2+Al2Si2O6(OH)4
Ferroceladonite,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,KFe2+Fe3+Si4O10(OH)2
Ferrochiavennite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,Ca1-2Fe2+Si5Be2O13(OH)2¬∑2H2O
Ferroefremovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,5,(N3-H4)2Fe2+2(S6+O4)3
Ferroericssonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,BaFe2+2Fe3+(Si2O7)O(OH)
Ferrohexahydrite,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,2,3,Fe2+S6+O4¬∑6H2O
Ferrohögbomite-2N2S,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"(Fe2+,Mg,Zn2+,Al)3(Al,Ti4+,Fe3+)8O15(OH)"
Ferroindialite,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,"(Fe2+,Mg)2Al3(AlSi5)O18"
Ferrokentbrooksite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Na15Ca6Fe2+3Zr4+3Nb5+(Si25O73)(O,OH,H2O)3(F,Cl)2"
Ferrokësterite,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Cu1+2Fe2+Sn4+S2-4
Ferrokinoshitalite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,BaFe2+3(Si2Al2)O10(OH)2
Ferrolaueite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,1,,Fe2+Fe3+2(PO4)2(OH)2¬∑8H2O
Ferromerrillite,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,Ca9NaFe2+(PO4)7
Ferronickelplatinum,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,Pt2FeNi
Ferronigerite-2<i>N</i>1S,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"(Al,Fe3+,Zn2+)2(Al,Sn4+)6O11(OH)"
Ferronigerite-6<i>N</i>6S,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"(Al,Fe3+,Zn2+)3(Al,Sn4+,Fe3+)8O15(OH)"
Ferronordite-(Ce),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Na3SrCe3+Fe2+Si6O17
Ferronordite-(La),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Na3SrLa3+Fe2+Si6O17
Ferrorhodonite,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,CaMn2+3Fe2+(Si5O15)
Ferrorockbridgeite,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,3,,"(Fe2+,Mn2+)2Fe3+3(PO4)3(OH)4(H2O)"
Ferrorosemaryite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,[box]NaFe2+(Fe3+Al)(PO4)3
Ferrosaponite,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,"Ca0.3(Fe2+,Mg,Fe3+)3(Si,Al)4O10(OH)2¬∑4H2O"
Ferroselite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,2,FeSe2
Ferrosilite,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,7,4,"(Fe2+,Mg)2Si2O6"
Ferroskutterudite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,FeAs3
Ferrostalderite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Cu1+Fe2+2Tl1+As3+2S2-6
Ferrostrunzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,Fe2+Fe3+2(P5+O4)2(OH)2¬∑6H2O
Ferrotaaffeite-2<i>N</i>'2S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"(Fe2+,Mg,Zn2+)3Al8BeO16"
Ferrotaaffeite-6<i>N</i>'3S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,BeFe2+2Al6O12
Ferrotitanowodginite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Fe2+Ti4+Ta5+2O8
Ferrotochilinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,6Fe2+S2-¬∑5Fe2+(OH)2
Ferrotychite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Na6Fe2+2(CO3)4(S6+O4)
Ferrovalleriite,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,"2(Fe,Cu)S¬∑1.53[(Fe2+,Al,Mg)(OH)2]"
Ferrovorontsovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,(Fe5Cu)TlAs4S12
Ferrowodginite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Fe2+Sn4+Ta5+2O8
Ferrowyllieite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,NaNaFe2+(Fe2+Al)(PO4)3
Ferruccite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,3,NaBF4
Fersmanite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,"Ca4(Na,Ca)4(Ti4+,Nb5+)4(Si2O7)2O8F3"
Fersmite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,"(Ca,Ce3+,Na)(Nb5+,Ta5+,Ti4+)2(O,OH,F)6"
Feruvite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,CaFe2+3(Al5Mg)(Si6O18)(BO3)3(OH)3OH
Fervanite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,1,4,Fe3+4V5+4O16¬∑5H2O
Fetiasite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,4,"(Fe2+,Fe3+,Ti4+)3O2As3+2O5"
Fettelite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Ag16HgAs4S15
Feynmanite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,1,5,Na(U6+O2)(S6+O4)(OH)¬∑3.5H2O
Fianelite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,,2,5,"Mn2+2(V5+,As5+)2O7¬∑2H2O"
Fibroferrite,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,2,5,"Fe3+S6+O4(OH,Cl)¬∑5H2O"
Fichtelite,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,2,C19H34
Fiedlerite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,2,5,Pb2+3Cl4F(OH)¬∑H2O
Fiemmeite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,2,4,Cu2+2((C2)6+O4)(OH)2¬∑2H2O
Filatovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,6,"K(Al,Zn2+)2(As5+,Si)2O8"
Filipstadite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,"(Fe3+0.5Sb5+0.5)(Mn,Mg)2O4"
Filipstadite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,"(Fe3+0.5Sb5+0.5)(Mn2+,Mg)2O4"
Fillowite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,"Na2Ca(Mn2+,Mg)7(PO4)6"
Finchite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,1,,Sr(U6+O2)2(V5+2O8)¬∑5H2O
Fingerite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,3,Cu2+11O2(V5+O4)6
Finnemanite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,2,4,Pb2+5(As3+O3)3Cl
Fischesserite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,Ag3AuSe2
Fivegite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,6,K4Ca2[AlSi7O17(O2-x(OH)x)][(H2O)2-x(OH)x]Cl (x = 0-2)
Fizélyite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Ag5Pb14Sb21S48
Flagstaffite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,3,C10H22O3
Flamite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,6,"(Ca,Na,K)2(Si,P)O4"
Fleetite,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,Cu2RhIrSb2
Fleischerite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,6,"(Pb2+,Ca)3Ge4+(S6+O4)2(OH)6¬∑3H2O"
Fleisstalite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,4,Fe2+(S4+O3)¬∑3H2O
Fletcherite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Cu2+Ni3+2S2-4
Flinkite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,2,4,Mn2+2Mn3+As5+O4(OH)4
Flinteite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,3,K2Zn2+Cl4
Florencite-(Ce),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,2,,Ce3+Al3(PO4)2(OH)6
Florencite-(La),,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,2,,La3+Al3(PO4)2(OH)6
Florencite-(Nd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,Nd3+Al3(PO4)2(OH)6
Florencite-(Sm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,Sm3+Al3(PO4)2(OH)6
Florenskyite,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,FeTiP
Florensovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Cu1+(Cr3+1.5Sb5+0.5)S2-4
Flörkeite,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,(K3Ca2Na)[Al8Si8O32]¬∑12H2O
Fluckite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,2,5,CaMn2+(As5+O3OH)2¬∑2H2O
Fluellite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,2,5,Al2(PO4)F2(OH)¬∑7H2O
Fluoborite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,4,Mg3(BO3)F3
Fluocerite-(Ce),,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Ce3+F3
Fluocerite-(La),,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,La3+F3
Fluor-buergerite,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,7,NaFe3+3Al6(Si6O18)(BO3)3O3F
Fluor-dravite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,NaMg3Al6(Si6O18)(BO3)3(OH)3F
Fluor-elbaite,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,Na(Li1.5Al1.5)Al6(Si6O18)(BO3)3(OH)3F
Fluor-liddicoatite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Ca(Li2Al)Al6(Si6O18)(BO3)3(OH)3F
Fluor-schorl,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,NaFe2+3Al6(Si6O18)(BO3)3(OH)3F
Fluor-tsilaisite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,NaMn2+3Al6(Si6O18)(BO3)3(OH)3F
Fluor-uvite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,CaMg3(Al5Mg)(Si6O18)(BO3)3(OH)3F
Fluorannite,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,KFe2+3(Si3Al)O10F2
Fluorapatite,,,,,,1,,,,,,,,,,,,,1,,1,,1,1,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,11,4,Ca5(PO4)3F
Fluorapophyllite-(Cs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,CsCa4(Si8O20)F(H2O)8
Fluorapophyllite-(K),,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,KCa4Si8O20F¬∑8H2O
Fluorapophyllite-(Na),,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,NaCa4Si8O20F¬∑8H2O
Fluorapophyllite-(NH_4_),,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,(N3-H4)Ca4(Si8O20)F¬∑8H2O
Fluorarrojadite-(BaFe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Na2CaBaFe2+Fe2+13Al(PO4)11(PO3OH)F2
Fluorarrojadite-(BaNa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,BaNa4CaFe2+13Al(PO4)11(PO3OH)F2
Fluorbarytolamprophyllite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"(Ba,Sr,K)2[(Na,Fe2+)3Ti4+F2][Ti4+2(Si2O7)2O2]"
Fluorbritholite-(Ce),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"(Ce3+,Ca)5(SiO4)3F"
Fluorbritholite-(Y),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"(Y3+,Ca)5(SiO4)3F"
Fluorcalciobritholite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"(Ca,Ce3+)5(SiO4,PO4)3F"
Fluorcalciomicrolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"(Ca,Na)2Ta5+2O6F"
Fluorcalciopyrochlore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"(Ca,Na)2(Nb5+,Ti4+)2O6F"
Fluorcalcioroméite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,"(Ca,Na)2Sb5+2O6F"
Fluorcanasite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,K3Na3Ca5Si12O30F4¬∑H2O
Fluorcaphite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,SrCaCa3(PO4)3F
Fluorcarletonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,KNa4Ca4Si8O18(CO3)4F¬∑H2O
Fluorcarmoite-(BaNa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Ba[box]Na2Na2[box]CaMg13Al(PO4)11(PO3OH)F2
Fluorchegemite,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Ca7(SiO4)3F2
Fluorellestadite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,3,,Ca5(SiO4)1.5(S6+O4)1.5F
Fluorite,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,12,2,CaF2
