Mineral Name,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45a,p45b,p46,p47a,p47b,p47c,p47d,p47e,p47f,p47g,p47h,p47i,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,Lunar,BQ,BS,BT
Adranosite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,2,8,"(N3-H4)4Na(Al,Fe3+)2(S6+O4)4Cl(OH)2"
Adranosite-(Fe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,7,(N3-H4)4NaFe3+2(S6+O4)4Cl(OH)2
Adrianite,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,Ca12(Al4Mg3Si7)O32Cl6
Aegirine,,,,,,,1,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,9,6,"(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6"
Aegirine-augite,,,,,,,1,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,9,6,"(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6"
Aenigmatite,,,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,Na4(Fe2+10Ti4+2)O4[Si12O36]
Aerinite,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,"(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)¬∑12H2O"
Aerugite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,3,Ni2+8.5(As5+O4)2As5+O8
Aeschynite-(Ce),,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,"(Ce3+,Ca,Fe2+,Th4+)(Ti4+,Nb5+)2(O,OH)6"
Aeschynite-(Nd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,"(Nd3+,Ln3+,Ca)(Ti4+,Nb5+)2(O,OH)6"
Aeschynite-(Y),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,"(Y3+,Ca,Th4+)(Ti4+,Nb5+)2(O,OH)6"
Afghanite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,Na22Ca10(Si24Al24)O96(S6+O4)6Cl6
Afmite,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,3,4,Al3(OH)4(H2O)3(PO4)(PO3OH)¬∑H2O
Afwillite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,4,Ca3(SiO4)(SiO2(OH)2)¬∑2H2O
Agaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,6,Pb2+3Cu2+Te6+O5(OH)2(CO3)
Agakhanovite-(Y),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,Y3+Ca[box]2KBe3Si12O30
Agardite-(Ce),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,5,Cu2+6Ce3+(As5+O4)3(OH)6¬∑3H2O
Agardite-(La),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,5,Cu2+6La3+(As5+O4)3(OH)6¬∑3H2O
Agardite-(Nd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,
Agardite-(Y),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,5,Cu2+6Y3+(As5+O4)3(OH)6¬∑3H2O
Agmantinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Ag1+2Mn2+Sn4+S2-4
Agrellite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,NaCa2Si4O10F
Agricolaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,4,K4(U6+O2)(CO3)3
Agrinierite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,5,K2Ca[(U6+O2)3O3(OH)2]2¬∑5H2O
Aguilarite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,Ag4SeS
Aheylite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,6,Fe2+Al6(PO4)4(OH)8¬∑4H2O
Ahlfeldite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,4,Ni2+Se4+O3¬∑2H2O
Ahrensite,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,SiFe2+2O4
Aikinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Cu1+Pb2+Bi3+S2-3
Aiolosite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,5,Na2(Na2Bi3+)(S6+O4)3Cl
Ajoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,7,"(K,Na)3Cu2+20Al3Si29O76(OH)16¬∑8H2O"
Akaganeite,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,1,1,,,,,,,,,,1,5,5,"(Fe3+,Ni2+)8(OH,O)16Cl1.25¬∑nH2O"
Akaogiite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Ti4+O2
Akatoreite,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,Mn2+9Al2Si8O24(OH)8
Akdalaite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,Al10O14(OH)2
Åkermanite,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,8,4,Ca2MgSi2O7
Akhtenskite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2,2,Mn4+O2
Akimotoite,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,"(Mg,Fe)SiO3"
Aklimaite,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Ca4[Si2O5(OH)2](OH)4¬∑5H2O
Akopovaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,5,Al4Li2(OH)12(CO3)(H2O)3
Akrochordite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Mn2+5(As5+O4)2(OH)4¬∑4H2O
